,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
234,PRFT,"Perficient, Inc.",47.24,-0.02,-0.04%,696782.00,297022.00,1.658B,17.12,
235,CNXN,"PC Connection, Inc.",61.96,-0.01,-0.02%,50527.00,65978.00,1.633B,19.67,
236,XRX,Xerox Holdings Corporation,13.06,-0.23,-1.73%,2.709M,2.474M,1.622B,N/A,
237,MXL,"MaxLinear, Inc.",19.00,-1.79,-8.61%,1.009M,815193.00,1.579B,N/A,
238,ACMR,"ACM Research, Inc.",24.92,-0.6,-2.35%,1.002M,1.749M,1.545B,21.48,
239,PRO,"PROS Holdings, Inc.",32.88,0.13,0.40%,159661.00,309498.00,1.544B,N/A,
240,TTMI,"TTM Technologies, Inc.",14.77,-0.16,-1.07%,1.097M,686180.00,1.503B,N/A,
241,STER,Sterling Check Corp.,15.16,0.03,0.20%,191169.00,709000.00,1.483B,N/A,
242,NATL,NCR Atleos Corporation,20.57,0.64,3.21%,597213.00,609936.00,1.483B,N/A,
243,EXTR,"Extreme Networks, Inc.",11.45,0.25,2.23%,4.899M,2.01M,1.474B,19.08,
244,CTS,CTS Corporation,47.42,1.67,3.65%,238470.00,142485.00,1.456B,24.7,
245,SHLS,"Shoals Technologies Group, Inc.",8.50,0.05,0.59%,3.476M,3.968M,1.449B,35.42,
246,ZUO,"Zuora, Inc.",9.91,0.05,0.51%,1.496M,1.733M,1.447B,N/A,
247,AVPT,"AvePoint, Inc.",7.85,0.08,1.03%,556368.00,818278.00,1.444B,N/A,
248,EVBG,"Everbridge, Inc.",34.78,0.03,0.09%,731483.00,1.359M,1.444B,N/A,
249,PAR,PAR Technology Corporation,42.20,-0.08,-0.19%,242455.00,238496.00,1.434B,N/A,
250,KN,Knowles Corporation,15.80,-0.03,-0.19%,554611.00,553983.00,1.418B,20,
251,VICR,Vicor Corporation,31.82,-0.56,-1.73%,216943.00,276052.00,1.417B,31.82,
252,NTCT,"NetScout Systems, Inc.",19.78,0.52,2.70%,385756.00,663778.00,1.405B,N/A,
253,COHU,"Cohu, Inc.",29.60,-0.72,-2.37%,322418.00,298244.00,1.394B,50.17,
254,VTEX,VTEX,7.41,-0.01,-0.13%,179861.00,473500.00,1.37B,N/A,
255,CSGS,"CSG Systems International, Inc.",45.82,-1.42,-3.01%,355677.00,260313.00,1.365B,20.83,
256,GCT,GigaCloud Technology Inc.,31.98,0.19,0.60%,1.802M,2.997M,1.305B,13.9,
257,MLNK,"MeridianLink, Inc.",16.92,0.24,1.44%,249997.00,263400.00,1.294B,N/A,
258,ICHR,"Ichor Holdings, Ltd.",37.65,-1.13,-2.91%,231724.00,327824.00,1.241B,N/A,
